sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o10-gcc13_auto-1048576,2,gcc13_auto,1048576,153,40108032,654995776,220523,220523,1437665211,160432411,1437665196,655024379,655024379,1
r02-o11-gcc13_scalar-8388608,2,gcc13_scalar,8388608,8,16777216,708672612,688651,688651,1555427057,67109149,1555427082,708705778,708705778,1
r02-o12-gcc13_scalar-1048576,2,gcc13_scalar,1048576,153,40108032,653628878,220523,220523,1434665892,160432411,1434665892,653657648,653657648,1
r02-o13-clang18_scalar-32768,2,clang18_scalar,32768,36622,300007424,702244213,6888,6888,1541373260,412511360,1541373262,702272179,702272179,1
r02-o14-clang18_auto-8388608,2,clang18_auto,8388608,8,16777216,751871891,688651,688651,1650304370,23069824,1650304370,751907883,751907883,1
r02-o15-gcc13_auto-536870912,2,gcc13_auto,536870912,1,134217728,13142731050,10873113,10873113,28847207422,536871195,28847207444,13142766275,13142766275,1
r02-o16-gcc13_scalar-262144,2,gcc13_scalar,262144,1221,80019456,467342326,63890,63890,1025781096,320078107,1025781130,467370161,467370161,1
r02-o17-gcc13_scalar-6291456,2,gcc13_scalar,6291456,13,20447232,890148432,161020,161020,1953806674,81789211,1953806668,890181017,890181017,1
r02-o18-gcc13_scalar-536870912,2,gcc13_scalar,536870912,1,134217728,14106020480,10873113,10873113,30961547831,536871195,30961547804,14106053798,14106053798,1
r02-o19-clang18_scalar-262144,2,clang18_scalar,262144,1221,80019456,489288045,63890,63890,1073952437,110027904,1073952440,489316853,489316853,1
r02-o20-clang18_auto-536870912,2,clang18_auto,536870912,1,134217728,13120353959,10873113,10873113,28798094044,184550528,28798094050,13120390329,13120390329,1
r02-o21-clang18_scalar-6291456,2,clang18_scalar,6291456,13,20447232,656378556,161020,161020,1440704266,28116096,1440704298,656413128,656413128,1
r02-o22-gcc13_auto-262144,2,gcc13_auto,262144,1221,80019456,524944438,63890,63890,1152213181,320078107,1152213172,524971422,524971422,1
r02-o23-clang18_auto-1048576,2,clang18_auto,1048576,153,40108032,657198213,220523,220523,1442502492,55149696,1442502490,657230175,657230175,1
r02-o24-clang18_auto-36864,2,clang18_auto,36864,21702,200005632,550599036,8675,8675,1208524730,275008896,1208524724,550627112,550627112,1
r02-o25-clang18_scalar-1048576,2,clang18_scalar,1048576,153,40108032,656170997,220523,220523,1440247065,55149696,1440247072,656200879,656200879,1
r02-o26-gcc13_auto-8388608,2,gcc13_auto,8388608,8,16777216,794966914,688651,688651,1744891383,67109147,1744891390,795002160,795002160,1
r02-o27-clang18_scalar-8388608,2,clang18_scalar,8388608,8,16777216,726644796,688651,688651,1594932167,23069824,1594932196,726679234,726679234,1
r02-o28-gcc13_auto-6291456,2,gcc13_auto,6291456,13,20447232,647211470,161020,161020,1420580318,81789211,1420580326,647246191,647246191,1
r03-o01-clang18_scalar-36864,3,clang18_scalar,36864,21702,200005632,550724830,8675,8675,1208800619,275008896,1208800626,550751889,550751889,1
r03-o02-gcc13_auto-536870912,3,gcc13_auto,536870912,1,134217728,13095822032,10873113,10873113,28744245775,536871195,28744245794,13095855400,13095855400,1
r03-o03-gcc13_auto-262144,3,gcc13_auto,262144,1221,80019456,524531808,63890,63890,1151307834,320078107,1151307872,524559917,524559917,1
r03-o04-gcc13_auto-6291456,3,gcc13_auto,6291456,13,20447232,673219243,161020,161020,1477666098,81789211,1477666080,673255087,673255087,1
r03-o05-clang18_scalar-6291456,3,clang18_scalar,6291456,13,20447232,628617906,161020,161020,1379770202,28116096,1379770194,628651682,628651682,1
r03-o06-gcc13_auto-36864,3,gcc13_auto,36864,21702,200005632,539596872,8675,8675,1184373964,800022811,1184373982,539623182,539623182,1
r03-o07-clang18_scalar-8388608,3,clang18_scalar,8388608,8,16777216,752747500,688651,688651,1652225654,23069824,1652225652,752781946,752781946,1
r03-o08-clang18_scalar-536870912,3,clang18_scalar,536870912,1,134217728,14089449356,10873113,10873113,30925178699,184550528,30925178680,14089484048,14089484048,1
r03-o09-gcc13_scalar-32768,3,gcc13_scalar,32768,36622,300007424,684709346,6888,6888,1502883621,1200029979,1502883602,684737028,684737028,1
r03-o10-gcc13_scalar-536870912,3,gcc13_scalar,536870912,1,134217728,13158549728,10873113,10873113,28881928579,536871195,28881928570,13158583518,13158583518,1
r03-o11-clang18_auto-8388608,3,clang18_auto,8388608,8,16777216,798099710,688651,688651,1751770376,23069824,1751770394,798135581,798135581,1
r03-o12-gcc13_scalar-36864,3,gcc13_scalar,36864,21702,200005632,539614861,8675,8675,1184413254,800022811,1184413252,539640389,539640389,1
r03-o13-clang18_auto-262144,3,clang18_auto,262144,1221,80019456,610134697,63890,63890,1339201140,110027904,1339201138,610163144,610163144,1
r03-o14-clang18_scalar-32768,3,clang18_scalar,32768,36622,300007424,702436967,6888,6888,1541796952,412511360,1541796982,702465091,702465091,1
r03-o15-clang18_auto-6291456,3,clang18_auto,6291456,13,20447232,653973906,161020,161020,1435426257,28116096,1435426234,654010434,654010434,1
r03-o16-gcc13_scalar-262144,3,gcc13_scalar,262144,1221,80019456,496205773,63890,63890,1089133885,320078107,1089133892,496232528,496232528,1
r03-o17-gcc13_auto-1048576,3,gcc13_auto,1048576,153,40108032,653792418,220523,220523,1435024417,160432411,1435024404,653821048,653821048,1
r03-o18-clang18_auto-32768,3,clang18_auto,32768,36622,300007424,702053307,6888,6888,1540954478,412511360,1540954492,702081959,702081959,1
r03-o19-gcc13_auto-8388608,3,gcc13_auto,8388608,8,16777216,709722779,688651,688651,1557787372,67109147,1557787352,709757985,709757985,1
r03-o20-gcc13_scalar-6291456,3,gcc13_scalar,6291456,13,20447232,655740130,161020,161020,1439299556,81789211,1439299554,655772716,655772716,1
r03-o21-gcc13_scalar-8388608,3,gcc13_scalar,8388608,8,16777216,757228622,688651,688651,1662058468,67109147,1662058464,757261704,757261704,1
r03-o22-clang18_auto-36864,3,clang18_auto,36864,21702,200005632,550639468,8675,8675,1208613614,275008896,1208613604,550667062,550667062,1
r03-o23-gcc13_auto-32768,3,gcc13_auto,32768,36622,300007424,684570773,6888,6888,1502579708,1200029979,1502579738,684597832,684597832,1
r03-o24-clang18_scalar-1048576,3,clang18_scalar,1048576,153,40108032,656478938,220523,220523,1440922609,55149696,1440922626,656508003,656508003,1
r03-o25-gcc13_scalar-1048576,3,gcc13_scalar,1048576,153,40108032,652948944,220523,220523,1433172476,160432411,1433172466,652976846,652976846,1
r03-o26-clang18_auto-536870912,3,clang18_auto,536870912,1,134217728,13152486908,10873113,10873113,28868623174,184550528,28868623168,13152523750,13152523750,1
r03-o27-clang18_auto-1048576,3,clang18_auto,1048576,153,40108032,657097521,220523,220523,1442280916,55149696,1442280928,657126195,657126195,1
r03-o28-clang18_scalar-262144,3,clang18_scalar,262144,1221,80019456,475423871,63890,63890,1043520852,110027904,1043520852,475450875,475450875,1
r04-o01-clang18_auto-536870912,4,clang18_auto,536870912,1,134217728,13533238372,10873113,10873113,29704341285,184550528,29704341282,13533274047,13533274047,1
r04-o02-clang18_auto-1048576,4,clang18_auto,1048576,153,40108032,658436499,220523,220523,1445219861,55149696,1445219842,658465866,658465866,1
r04-o03-gcc13_auto-32768,4,gcc13_auto,32768,36622,300007424,684595435,6888,6888,1502633886,1200029979,1502633880,684622937,684622937,1
r04-o04-clang18_auto-32768,4,clang18_auto,32768,36622,300007424,702593110,6888,6888,1542139421,412511360,1542139434,702621313,702621313,1
r04-o05-gcc13_scalar-1048576,4,gcc13_scalar,1048576,153,40108032,653576124,220523,220523,1434548771,160432411,1434548764,653604593,653604593,1
r04-o06-clang18_scalar-262144,4,clang18_scalar,262144,1221,80019456,489552728,63890,63890,1074533052,110027904,1074533064,489580233,489580233,1
r04-o07-gcc13_scalar-536870912,4,gcc13_scalar,536870912,1,134217728,13152140254,10873113,10873113,28867859684,536871195,28867859680,13152172978,13152172978,1
r04-o08-gcc13_auto-36864,4,gcc13_auto,36864,21702,200005632,539888980,8675,8675,1184449764,800022819,1184449816,539710921,539710921,1
r04-o09-gcc13_auto-6291456,4,gcc13_auto,6291456,13,20447232,699038659,161020,161020,1534336924,81789211,1534336936,699073878,699073878,1
r04-o10-gcc13_auto-262144,4,gcc13_auto,262144,1221,80019456,509624728,63890,63890,1118587564,320078107,1118587580,509651793,509651793,1
r04-o11-clang18_auto-8388608,4,clang18_auto,8388608,8,16777216,709847986,688651,688651,1558064530,23069824,1558064530,709884881,709884881,1
r04-o12-gcc13_auto-536870912,4,gcc13_auto,536870912,1,134217728,13140125654,10873113,10873113,28841488608,536871195,28841488610,13140160134,13140160134,1
r04-o13-gcc13_scalar-262144,4,gcc13_scalar,262144,1221,80019456,524052405,63890,63890,1150255051,320078107,1150255040,524079343,524079343,1
