sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o23-go-1048576,2,go,1048576,2048,33554432,76140974,33554432,33554432,165419294,234908039,165419232,75853634,75853634,true
r02-o24-go-36864,2,go,36864,58255,33554880,39478924,3284255168,3284255168,84999949,235357374,85000256,39174032,39174032,true
r02-o25-rust-1048576,2,rust,1048576,2048,33554432,72665560,33554432,33554432,159308259,134223651,159308226,72653551,72653551,1
r02-o26-cpp-8388608,2,cpp,8388608,256,33554432,110912903,33554432,33554432,243448397,167773713,243448392,110942756,110942756,1
r02-o27-rust-8388608,2,rust,8388608,256,33554432,108915466,33554432,33554432,239064210,134218715,239064188,108945966,108945966,1
r02-o28-cpp-6291456,2,cpp,6291456,342,33619968,91536444,50397184,50397184,200918638,168101823,200918652,91565732,91565732,1
r03-o01-rust-36864,3,rust,36864,58255,33554880,38044799,3284255168,3284255168,83508796,134380013,83508810,38069144,38069144,1
r03-o02-cpp-536870912,3,cpp,536870912,4,33554432,156484924,33554432,33554432,343476497,167772453,343476518,156519173,156519173,1
r03-o03-cpp-262144,3,cpp,262144,8192,33554432,57338311,33554432,33554432,125856280,167813393,125856258,57365360,57365360,1
r03-o04-cpp-6291456,3,cpp,6291456,342,33619968,92707060,50397184,50397184,203488128,168101823,203488164,92737174,92737174,1
r03-o05-rust-6291456,3,rust,6291456,342,33619968,88697563,50397184,50397184,194688071,134481102,194688098,88727444,88727444,1
r03-o06-cpp-36864,3,cpp,36864,58255,33554880,40302835,3284255168,3284255168,88464875,168065948,88464882,40328236,40328236,1
r03-o07-rust-8388608,3,rust,8388608,256,33554432,109654665,33554432,33554432,240074106,134218736,240074164,109538447,109538447,1
r03-o08-rust-536870912,3,rust,536870912,4,33554432,157766512,33554432,33554432,346289058,134218022,346289064,157801130,157801130,1
r03-o09-c-32768,3,c,32768,65536,33554432,20220529,33554432,33554432,44385651,134545680,44385638,20245327,20245327,1
r03-o10-c-536870912,3,c,536870912,4,33554432,157981209,33554432,33554432,346760501,134218020,346760524,158015292,158015292,1
r03-o11-go-8388608,3,go,8388608,256,33554432,113528546,33554432,33554432,247072930,235294444,247072826,113238555,113238555,true
r03-o12-c-36864,3,c,36864,58255,33554880,38596733,3284255168,3284255168,84719918,134511067,84719910,38622996,38622996,1
r03-o13-go-262144,3,go,262144,8192,33554432,63514465,33554432,33554432,137421109,234956935,137421196,63145778,63145778,true
r03-o14-rust-32768,3,rust,32768,65536,33554432,20660396,33554432,33554432,45351500,134398235,45351504,20685604,20685604,1
r03-o15-go-6291456,3,go,6291456,342,33619968,110089506,50397184,50397184,239936491,235752804,239936378,109854061,109854061,true
r03-o16-c-262144,3,c,262144,8192,33554432,50524613,33554432,33554432,110901342,134258960,110901340,50551880,50551880,1
r03-o17-cpp-1048576,3,cpp,1048576,2048,33554432,74771059,33554432,33554432,164119930,167782673,164119934,74798468,74798468,1
r03-o18-go-32768,3,go,32768,65536,33554432,27044786,33554432,33554432,57880195,235412202,57880746,26794719,26794719,true
