sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r03-o06-gcc13_lane1-536870912,3,gcc13_lane1,536870912,1,8388608,830442827,18012249170480756,18012249170480756,1822758592,75497755,1822758608,830475810,830475810,1
r03-o07-gcc13_lane8-262144,3,gcc13_lane8,262144,85450,350003200,683055202,756379970254730359,756379970254730359,1499253840,2712525119,1499253844,683085645,683085645,1
r03-o08-gcc13_lane1-262144,3,gcc13_lane1,262144,9766,40001536,569032401,86445885965269521,86445885965269521,1248982986,360014107,1248983032,569062369,569062369,1
r03-o09-gcc13_lane1-32768,3,gcc13_lane1,32768,195313,100000256,371240651,221271359518073939,221271359518073939,814846853,900002587,814846868,371269046,371269046,1
r03-o10-gcc13_lane8-36864,3,gcc13_lane8,36864,607639,350000064,408400663,774878977565100034,774878977565100034,896410313,2712500815,896410328,408432844,408432844,1
r03-o11-gcc13_lane1-1048576,3,gcc13_lane1,1048576,1221,20004864,419462691,43272497840938563,43272497840938563,920689830,180044059,920689814,419491161,419491161,1
r03-o12-gcc13_lane8-6291456,3,gcc13_lane8,6291456,1221,120029184,762475590,257963754663396029,257963754663396029,1673575840,930226495,1673575860,762511112,762511112,1
r03-o13-gcc13_lane1-6291456,3,gcc13_lane1,6291456,102,10027008,399899197,21549733755203228,21549733755203228,877750492,90243355,877750522,399933100,399933100,1
r03-o14-gcc13_lane8-32768,3,gcc13_lane8,32768,683594,350000128,339830534,774447998133594241,774447998133594241,745904954,2712501311,745904962,339863082,339863082,1
r04-o01-gcc13_lane8-36864,4,gcc13_lane8,36864,607639,350000064,407745270,774878977565100034,774878977565100034,894970706,2712500815,894970714,407772802,407772802,1
r04-o02-gcc13_lane8-6291456,4,gcc13_lane8,6291456,1221,120029184,766888473,257963754663396029,257963754663396029,1683261375,930226495,1683261382,766922375,766922375,1
r04-o03-gcc13_lane8-8388608,4,gcc13_lane8,8388608,916,120061952,811699282,257992015106286337,257992015106286337,1781617142,930480447,1781617134,811733482,811733482,1
r04-o04-gcc13_lane8-1048576,4,gcc13_lane8,1048576,15259,250003456,708987997,540782577536582989,540782577536582989,1556174432,1937527103,1556174444,709017360,709017360,1
r04-o05-gcc13_lane1-36864,4,gcc13_lane1,36864,173612,100000512,723212606,221395076082124221,221395076082124221,1587396062,900004891,1587396074,723240966,723240966,1
r04-o06-gcc13_lane8-32768,4,gcc13_lane8,32768,683594,350000128,340835996,774447998133594241,774447998133594241,748111265,2712501311,748111298,340865959,340865959,1
r04-o07-gcc13_lane1-8388608,4,gcc13_lane1,8388608,62,8126464,617043622,17462239205602153,17462239205602153,1354364257,73138459,1354364264,617076020,617076020,1
r04-o08-gcc13_lane1-1048576,4,gcc13_lane1,1048576,1221,20004864,471246402,43272497840938563,43272497840938563,1034351062,180044059,1034351054,471275479,471275479,1
r04-o09-gcc13_lane8-262144,4,gcc13_lane8,262144,85450,350003200,545748826,756379970254730359,756379970254730359,1197877995,2712525119,1197878000,545782281,545782281,1
r04-o10-gcc13_lane1-262144,4,gcc13_lane1,262144,9766,40001536,632399839,86445885965269521,86445885965269521,1388069613,360014107,1388069628,632429503,632429503,1
r04-o11-gcc13_lane8-536870912,4,gcc13_lane8,536870912,3,25165824,353376024,54016160691990295,54016160691990295,775636445,195035455,775636444,353410419,353410419,1
r04-o12-gcc13_lane1-6291456,4,gcc13_lane1,6291456,102,10027008,835220444,21549733755203228,21549733755203228,1833244082,90243355,1833244050,835253887,835253887,1
r04-o13-gcc13_lane1-536870912,4,gcc13_lane1,536870912,1,8388608,1017004163,18012249170480756,18012249170480756,2232245078,75497755,2232245070,1017041218,1017041218,1
r04-o14-gcc13_lane1-32768,4,gcc13_lane1,32768,195313,100000256,388007376,221271359518073939,221271359518073939,851648772,900002587,851648776,388038086,388038086,1
r05-o01-gcc13_lane1-536870912,5,gcc13_lane1,536870912,1,8388608,856970033,18012249170480756,18012249170480756,1880982889,75497755,1880982906,857002722,857002722,1
r05-o02-gcc13_lane1-32768,5,gcc13_lane1,32768,195313,100000256,371871832,221271359518073939,221271359518073939,816231965,900002587,816231966,371901066,371901066,1
r05-o03-gcc13_lane8-1048576,5,gcc13_lane8,1048576,15259,250003456,691116890,540782577536582989,540782577536582989,1516948917,1937527103,1516948928,691149076,691149076,1
r05-o04-gcc13_lane8-8388608,5,gcc13_lane8,8388608,916,120061952,893914449,257992015106286337,257992015106286337,1962072081,930480447,1962072090,893945226,893945226,1
r05-o05-gcc13_lane1-36864,5,gcc13_lane1,36864,173612,100000512,721672427,221395076082124221,221395076082124221,1584015116,900004891,1584015092,721702230,721702230,1
r05-o06-gcc13_lane1-1048576,5,gcc13_lane1,1048576,1221,20004864,419263444,43272497840938563,43272497840938563,920252771,180044059,920252784,419293196,419293196,1
r05-o07-gcc13_lane8-6291456,5,gcc13_lane8,6291456,1221,120029184,967286852,257963754663396029,257963754663396029,2123118815,930226495,2123118778,967320861,967320861,1
r05-o08-gcc13_lane8-262144,5,gcc13_lane8,262144,85450,350003200,481469583,756379970254730359,756379970254730359,1056789621,2712525119,1056789624,481499156,481499156,1
r05-o09-gcc13_lane1-262144,5,gcc13_lane1,262144,9766,40001536,390761644,86445885965269521,86445885965269521,857694696,360014107,857694706,390793308,390793308,1
r05-o10-gcc13_lane1-8388608,5,gcc13_lane1,8388608,62,8126464,443833672,17462239205602153,17462239205602153,974182299,73138459,974182308,443865997,443865997,1
r05-o11-gcc13_lane8-32768,5,gcc13_lane8,32768,683594,350000128,338946585,774447998133594241,774447998133594241,743964341,2712501311,743964342,338977858,338977858,1
r05-o12-gcc13_lane8-36864,5,gcc13_lane8,36864,607639,350000064,407511302,774878977565100034,774878977565100034,894457518,2712500815,894457520,407541458,407541458,1
r05-o13-gcc13_lane8-536870912,5,gcc13_lane8,536870912,3,25165824,316144338,54016160691990295,54016160691990295,693915064,195035455,693915068,316178306,316178306,1
r05-o14-gcc13_lane1-6291456,5,gcc13_lane1,6291456,102,10027008,515908236,21549733755203228,21549733755203228,1132380273,90243355,1132380260,515940850,515940850,1
r06-o01-gcc13_lane8-36864,6,gcc13_lane8,36864,607639,350000064,407655054,774878977565100034,774878977565100034,894772973,2712500815,894773022,407683703,407683703,1
r06-o02-gcc13_lane1-1048576,6,gcc13_lane1,1048576,1221,20004864,421042932,43272497840938563,43272497840938563,924159113,180044059,924159082,421074630,421074630,1
r06-o03-gcc13_lane8-1048576,6,gcc13_lane8,1048576,15259,250003456,692193323,540782577536582989,540782577536582989,1519311064,1937527103,1519311046,692223055,692223055,1
r06-o04-gcc13_lane1-36864,6,gcc13_lane1,36864,173612,100000512,722247541,221395076082124221,221395076082124221,1585278058,900004891,1585278068,722275847,722275847,1
r06-o05-gcc13_lane8-8388608,6,gcc13_lane8,8388608,916,120061952,938462924,257992015106286337,257992015106286337,2059852293,930480447,2059852278,938494846,938494846,1
r06-o06-gcc13_lane1-536870912,6,gcc13_lane1,536870912,1,8388608,840702627,18012249170480756,18012249170480756,1845277737,75497755,1845277720,840736179,840736179,1
