build_id,mode,implementation,state,perf_profile,footprint_bytes,event,accepted_rows,median_per_operation,p05_per_operation,p95_per_operation
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,32768,cycles,18,1.99843652397,1.99284540563,2.02115903404
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,32768,instructions,18,6.54102189139,6.54102126805,6.54108704507
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,32768,ref_cycles,18,1.99844580358,1.99285849801,2.02116876907
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,262144,cycles,18,1.94203002887,1.90780533303,1.98046000865
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,262144,instructions,18,6.17700470832,6.17700439864,6.17701233367
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,262144,ref_cycles,18,1.94203610903,1.90781370852,1.98046554508
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,1048576,cycles,17,2.75070040047,2.70783232101,2.82710991121
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,1048576,instructions,17,6.13800377106,6.13800361485,6.13800595487
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,1048576,ref_cycles,17,2.75070711755,2.70784642388,2.82712712903
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,6291456,cycles,18,6.37556175336,6.28465973003,6.56652839203
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,6291456,instructions,18,6.12717412811,6.12717394548,6.12717437452
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,6291456,ref_cycles,18,6.37561244181,6.28469323415,6.56658235065
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,8388608,cycles,17,6.83464286767,6.66143669044,7.7424992475
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,8388608,instructions,17,6.12663292807,6.12663272699,6.12663418528
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,8388608,ref_cycles,17,6.83470091579,6.66148488055,7.7425582237
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,33554432,cycles,18,10.8551427704,9.26256002578,24.0410780473
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,33554432,instructions,18,6.12541863353,6.12541688227,6.12543353167
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,33554432,ref_cycles,18,10.8552158002,9.26260639292,24.0412969589
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,536870912,cycles,18,27.556524833,27.3772133589,34.6676137447
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,536870912,instructions,18,6.12505038579,6.12505038579,6.1250628829
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,basic,536870912,ref_cycles,18,27.5566753546,27.3773687681,34.6678491831
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,32768,branch_misses,18,0.00195374126005,0.00195360337058,0.00195395340562
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,32768,branches,18,0.191408203737,0.191407590168,0.191419498307
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,32768,cycles,18,2.00014739782,1.99332442207,2.01696005659
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,262144,branch_misses,18,0.000244422274266,0.000244326387219,0.000244734504318
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,262144,branches,18,0.133301479324,0.133301276521,0.133302893112
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,262144,cycles,18,1.94171745985,1.91779399038,1.98434089199
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,1048576,branch_misses,18,6.13062382559e-05,6.12149210888e-05,6.14071992123e-05
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,1048576,branches,18,0.127075911907,0.127075858957,0.127076284474
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,1048576,cycles,18,2.76976596177,2.73591022713,2.88738995782
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,6291456,branch_misses,18,1.07280223443e-05,1.06448630379e-05,1.08452814697e-05
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,6291456,branches,18,0.125347416432,0.12534738658,0.125347464594
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,6291456,cycles,18,6.41559128701,6.27730416859,6.62349163039
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,8388608,branch_misses,18,8.18946427661e-06,8.10311510672e-06,8.32441183844e-06
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,8388608,branches,18,0.125261050365,0.125261003045,0.125261484466
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,8388608,cycles,18,6.81129192569,6.67050897392,8.68692867998
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,33554432,branch_misses,17,2.87010556176e-06,2.63820184725e-06,7.41265036843e-06
mlp8-gcc13-scalar,mlp8_cycle,scalar,cache_evicted,branch,33554432,branches,17,0.125067528258,0.125067202844,0.125070571899
