sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o07-clang18_auto-8388608,2,clang18_auto,8388608,916,120061952,869841669,257992015106286337,257992015106286337,1909237074,630326369,1909237066,869876143,869876143,1
r02-o08-clang18_auto-1048576,2,clang18_auto,1048576,15259,250003456,618783970,540782577536582989,540782577536582989,1358186268,1312519265,1358186236,618816011,618816011,1
r02-o09-gcc13_auto-1048576,2,gcc13_auto,1048576,15259,250003456,691525852,540782577536582989,540782577536582989,1517846083,1937527103,1517846088,691558341,691558341,1
r02-o10-clang18_auto-6291456,2,clang18_auto,6291456,1221,120029184,579746160,257963754663396029,257963754663396029,1272501117,630154337,1272501120,579781842,579781842,1
r02-o11-clang18_scalar-536870912,2,clang18_scalar,536870912,3,25165824,308894065,54016160691990295,54016160691990295,678003381,132121697,678003392,308928171,308928171,1
r02-o12-clang18_scalar-1048576,2,clang18_scalar,1048576,15259,250003456,620851824,540782577536582989,540782577536582989,1362724737,1312519265,1362724726,620882859,620882859,1
r02-o13-gcc13_scalar-36864,2,gcc13_scalar,36864,781250,450000000,526188272,996272629659386701,996272629659386701,1154943776,3487500319,1154943790,526217906,526217906,1
r02-o14-gcc13_auto-36864,2,gcc13_auto,36864,781250,450000000,526260716,996272629659386701,996272629659386701,1155102653,3487500319,1155102674,526291976,526291976,1
r02-o15-clang18_scalar-6291456,2,clang18_scalar,6291456,1221,120029184,597732113,257963754663396029,257963754663396029,1311979081,630154337,1311979064,597766182,597766182,1
r02-o16-gcc13_auto-262144,2,gcc13_auto,262144,85450,350003200,533347546,756379970254730359,756379970254730359,1170657859,2712525119,1170657840,533379290,533379290,1
r02-o17-gcc13_auto-32768,2,gcc13_auto,32768,878907,450000384,435708240,995719398065972051,995719398065972051,956347441,3487503295,956347436,435738230,435738230,1
r02-o18-clang18_auto-536870912,2,clang18_auto,536870912,3,25165824,322333109,54016160691990295,54016160691990295,707500633,132121697,707500640,322367219,322367219,1
r02-o19-gcc13_scalar-6291456,2,gcc13_scalar,6291456,1221,120029184,608149410,257963754663396029,257963754663396029,1334841963,930226495,1334841970,608181158,608181158,1
r02-o20-gcc13_auto-536870912,2,gcc13_auto,536870912,3,25165824,316587344,54016160691990295,54016160691990295,694887853,195035455,694887842,316621904,316621904,1
r02-o21-gcc13_scalar-536870912,2,gcc13_scalar,536870912,3,25165824,323162600,54016160691990295,54016160691990295,709319759,195035455,709319754,323195265,323195265,1
r02-o22-clang18_scalar-36864,2,clang18_scalar,36864,781250,450000000,374704108,996272629659386701,996272629659386701,822450134,2362501121,822450134,374732248,374732248,1
r02-o23-clang18_scalar-8388608,2,clang18_scalar,8388608,916,120061952,674263201,257992015106286337,257992015106286337,1479958902,630326369,1479958898,674299797,674299797,1
r02-o24-clang18_scalar-262144,2,clang18_scalar,262144,85450,350003200,556618413,756379970254730359,756379970254730359,1221737147,1837517921,1221737132,556647853,556647853,1
r02-o25-gcc13_scalar-8388608,2,gcc13_scalar,8388608,916,120061952,835851119,257992015106286337,257992015106286337,1834628631,930480447,1834628664,835886842,835886842,1
r02-o26-gcc13_auto-6291456,2,gcc13_auto,6291456,1221,120029184,1188598418,257963754663396029,257963754663396029,2608880030,930226495,2608880032,1188634349,1188634349,1
r02-o27-clang18_auto-32768,2,clang18_auto,32768,878907,450000384,286767527,995719398065972051,995719398065972051,629437659,2362503137,629437644,286800879,286800879,1
r02-o28-gcc13_scalar-262144,2,gcc13_scalar,262144,85450,350003200,483735219,756379970254730359,756379970254730359,1061763610,2712525119,1061763648,483769613,483769613,1
