add_latency,warm,basic,0,4
add_latency,warm,basic,10,4
add_latency,warm,basic,11,4
add_latency,warm,basic,12,4
add_latency,warm,basic,13,4
add_latency,warm,basic,1,4
add_latency,warm,basic,14,4
add_latency,warm,basic,2,4
add_latency,warm,basic,3,4
add_latency,warm,basic,4,4
add_latency,warm,basic,5,4
add_latency,warm,basic,6,4
add_latency,warm,basic,7,4
add_latency,warm,basic,8,4
add_latency,warm,basic,9,4
add_latency,warm,expanded,0,1
add_latency,warm,expanded,10,1
add_latency,warm,expanded,1,1
add_latency,warm,expanded,11,1
add_latency,warm,expanded,12,1
add_latency,warm,expanded,13,1
add_latency,warm,expanded,14,1
add_latency,warm,expanded,2,1
add_latency,warm,expanded,3,1
add_latency,warm,expanded,4,1
add_latency,warm,expanded,5,1
add_latency,warm,expanded,6,1
add_latency,warm,expanded,7,1
add_latency,warm,expanded,8,1
add_latency,warm,expanded,9,1
add_latency,warm,none,0,1
add_latency,warm,none,10,1
add_latency,warm,none,1,1
add_latency,warm,none,11,1
add_latency,warm,none,12,1
add_latency,warm,none,13,1
add_latency,warm,none,14,1
add_latency,warm,none,2,1
add_latency,warm,none,3,1
add_latency,warm,none,4,1
add_latency,warm,none,5,1
add_latency,warm,none,6,1
add_latency,warm,none,7,1
add_latency,warm,none,8,1
add_latency,warm,none,9,1
add_throughput_1,warm,basic,0,1
add_throughput_1,warm,basic,10,1
add_throughput_1,warm,basic,1,1
add_throughput_1,warm,basic,11,1
add_throughput_1,warm,basic,12,1
add_throughput_1,warm,basic,13,1
add_throughput_1,warm,basic,14,1
add_throughput_1,warm,basic,2,1
add_throughput_1,warm,basic,3,1
add_throughput_1,warm,basic,4,1
add_throughput_1,warm,basic,5,1
add_throughput_1,warm,basic,6,1
add_throughput_1,warm,basic,7,1
add_throughput_1,warm,basic,8,1
add_throughput_1,warm,basic,9,1
add_throughput_2,warm,basic,0,1
add_throughput_2,warm,basic,10,1
add_throughput_2,warm,basic,1,1
