sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o18-c-536870912,2,c,536870912,1,8388608,878471605,18017347997925624,18017347997925624,1927678357,75497763,1927678368,878338153,878338153,1
r02-o19-rust-262144,2,rust,262144,9766,40001536,361320984,85449381942251735,85449381942251735,793073167,360014110,793073160,361348791,361348791,1
r02-o20-go-536870912,2,go,536870912,1,8388608,883026914,18017347997925624,18017347997925624,1931728029,201402376,1931727974,881840380,881840380,true
r02-o21-rust-6291456,2,rust,6291456,102,10027008,581498791,21543721854647272,21543721854647272,1276346301,90243358,1276346324,581533616,581533616,1
r02-o22-cpp-262144,2,cpp,262144,9766,40001536,498452877,85449381942251735,85449381942251735,1094066260,360014107,1094066226,498478818,498478818,1
r02-o23-go-1048576,2,go,1048576,1221,20004864,515229731,43098968983893989,43098968983893989,1127308793,480164402,1127308974,514601672,514601672,true
r02-o24-go-36864,2,go,36864,173612,100000512,1144153579,220423592280896003,220423592280896003,2505165822,2400118996,2505166708,1143088425,1143088425,true
r02-o25-rust-1048576,2,rust,1048576,1221,20004864,395427551,43098968983893989,43098968983893989,867934476,180044062,867934474,395453683,395453683,1
r02-o26-cpp-8388608,2,cpp,8388608,62,8126464,457504597,17444193244271551,17444193244271551,1004188558,73138459,1004188548,457535023,457535023,1
r02-o27-rust-8388608,2,rust,8388608,62,8126464,539686255,17444193244271551,17444193244271551,1184570993,73138462,1184570992,539716989,539716989,1
r02-o28-cpp-6291456,2,cpp,6291456,102,10027008,604839355,21543721854647272,21543721854647272,1327576204,90243355,1327576228,604868743,604868743,1
r03-o01-rust-36864,3,rust,36864,173612,100000512,619227260,220423592280896003,220423592280896003,1359156147,900004894,1359156172,619252704,619252704,1
r03-o02-cpp-536870912,3,cpp,536870912,1,8388608,859902907,18017347997925624,18017347997925624,1887419885,75497755,1887419886,859935260,859935260,1
r03-o03-cpp-262144,3,cpp,262144,9766,40001536,635315909,85449381942251735,85449381942251735,1394469408,360014107,1394469428,635343359,635343359,1
r03-o04-cpp-6291456,3,cpp,6291456,102,10027008,446354212,21543721854647272,21543721854647272,979714226,90243355,979714208,446384135,446384135,1
r03-o05-rust-6291456,3,rust,6291456,102,10027008,614007563,21543721854647272,21543721854647272,1347585684,90243361,1347585690,614021409,614021409,1
r03-o06-cpp-36864,3,cpp,36864,173612,100000512,1002355412,220423592280896003,220423592280896003,2200090495,900004891,2200090508,1002382000,1002382000,1
r03-o07-rust-8388608,3,rust,8388608,62,8126464,399909301,17444193244271551,17444193244271551,877771939,73138462,877771950,399939833,399939833,1
r03-o08-rust-536870912,3,rust,536870912,1,8388608,822571825,18017347997925624,18017347997925624,1805481763,75497758,1805481766,822607610,822607610,1
r03-o09-c-32768,3,c,32768,195313,100000256,367048438,223978264113942993,223978264113942993,805644821,900002587,805644840,367076226,367076226,1
r03-o10-c-536870912,3,c,536870912,1,8388608,1092516242,18017347997925624,18017347997925624,2397988026,75497755,2397988032,1092553453,1092553453,1
r03-o11-go-8388608,3,go,8388608,62,8126464,715590388,17444193244271551,17444193244271551,1562377637,195115643,1562377762,714529841,714529841,true
r03-o12-c-36864,3,c,36864,173612,100000512,1002389718,220423592280896003,220423592280896003,2200165989,900004891,2200165968,1002418959,1002418959,1
r03-o13-go-262144,3,go,262144,9766,40001536,599482392,85449381942251735,85449381942251735,1310786752,960092908,1310787192,598808885,598808885,true
r03-o14-rust-32768,3,rust,32768,195313,100000256,275356170,223978264113942993,223978264113942993,604387716,900002590,604387718,275382284,275382284,1
r03-o15-go-6291456,3,go,6291456,102,10027008,897013380,21543721854647272,21543721854647272,1961380951,240744694,1961380894,895528594,895528594,true
r03-o16-c-262144,3,c,262144,9766,40001536,515611577,85449381942251735,85449381942251735,1131727944,360014107,1131727938,515638645,515638645,1
r03-o17-cpp-1048576,3,cpp,1048576,1221,20004864,437407753,43098968983893989,43098968983893989,960077398,180044059,960077382,437434888,437434888,1
r03-o18-go-32768,3,go,32768,195313,100000256,783598688,223978264113942993,223978264113942993,1715365922,2400080338,1715366972,782820940,782820940,true
r03-o19-cpp-8388608,3,cpp,8388608,62,8126464,588418675,17444193244271551,17444193244271551,1291534221,73138459,1291534222,588447844,588447844,1
r03-o20-c-6291456,3,c,6291456,102,10027008,528919426,21543721854647272,21543721854647272,1160938033,90243355,1160938020,528948204,528948204,1
r03-o21-c-8388608,3,c,8388608,62,8126464,468749015,17444193244271551,17444193244271551,1028868876,73138459,1028868852,468779003,468779003,1
r03-o22-go-36864,3,go,36864,173612,100000512,1143631391,220423592280896003,220423592280896003,2504091149,2400117666,2504091854,1142559419,1142559419,true
r03-o23-cpp-32768,3,cpp,32768,195313,100000256,365465214,223978264113942993,223978264113942993,802169567,900002587,802169566,365492441,365492441,1
r03-o24-rust-1048576,3,rust,1048576,1221,20004864,394498708,43098968983893989,43098968983893989,865896153,180044062,865896152,394526875,394526875,1
r03-o25-c-1048576,3,c,1048576,1221,20004864,434094885,43098968983893989,43098968983893989,952805657,180044059,952805634,434122555,434122555,1
r03-o26-go-536870912,3,go,536870912,1,8388608,879637699,18017347997925624,18017347997925624,1925344118,201403749,1925344058,878678094,878678094,true
r03-o27-go-1048576,3,go,1048576,1221,20004864,497985754,43098968983893989,43098968983893989,1089615367,480163971,1089615230,497448946,497448946,true
r03-o28-rust-262144,3,rust,262144,9766,40001536,459490411,85449381942251735,85449381942251735,1008546845,360014110,1008546858,459516567,459516567,1
r04-o01-go-536870912,4,go,536870912,1,8388608,870113391,18017347997925624,18017347997925624,1905197112,201402008,1905197118,869307382,869307382,true
r04-o02-go-1048576,4,go,1048576,1221,20004864,497324367,43098968983893989,43098968983893989,1088289616,480163961,1088289862,496774607,496774607,true
r04-o03-cpp-32768,4,cpp,32768,195313,100000256,367269833,223978264113942993,223978264113942993,806130517,900002587,806130512,367297616,367297616,1
r04-o04-go-32768,4,go,32768,195313,100000256,783725556,223978264113942993,223978264113942993,1715654565,2400078714,1715654490,782912639,782912639,true
r04-o05-c-1048576,4,c,1048576,1221,20004864,436473868,43098968983893989,43098968983893989,958027484,180044059,958027466,436500698,436500698,1
r04-o06-rust-262144,4,rust,262144,9766,40001536,373059197,85449381942251735,85449381942251735,818837954,360014110,818837954,373087177,373087177,1
r04-o07-c-536870912,4,c,536870912,1,8388608,844697641,18017347997925624,18017347997925624,1854046198,75497755,1854046194,844730696,844730696,1
r04-o08-cpp-36864,4,cpp,36864,173612,100000512,1002353765,220423592280896003,220423592280896003,2200086789,900004891,2200086790,1002380859,1002380859,1
r04-o09-cpp-6291456,4,cpp,6291456,102,10027008,502816584,21543721854647272,21543721854647272,1103538259,90243357,1103538282,502830516,502830516,1
r04-o10-cpp-262144,4,cpp,262144,9766,40001536,486266884,85449381942251735,85449381942251735,1067319008,360014107,1067319000,486293987,486293987,1
r04-o11-go-8388608,4,go,8388608,62,8126464,484458834,17444193244271551,17444193244271551,1060391180,195096920,1060391134,483927719,483927719,true
r04-o12-cpp-536870912,4,cpp,536870912,1,8388608,847695189,18017347997925624,18017347997925624,1860624907,75497755,1860624898,847726666,847726666,1
r04-o13-c-262144,4,c,262144,9766,40001536,620826896,85449381942251735,85449381942251735,1362666985,360014107,1362666998,620854769,620854769,1
r04-o14-c-36864,4,c,36864,173612,100000512,1002352628,220423592280896003,220423592280896003,2200084407,900004891,2200084414,1002379067,1002379067,1
r04-o15-cpp-8388608,4,cpp,8388608,62,8126464,450742592,17444193244271551,17444193244271551,989346261,73138459,989346248,450772992,450772992,1
r04-o16-rust-6291456,4,rust,6291456,102,10027008,415946985,21543721854647272,21543721854647272,912973189,90243358,912973182,415977040,415977040,1
r04-o17-rust-536870912,4,rust,536870912,1,8388608,838215693,18017347997925624,18017347997925624,1839818707,75497758,1839818706,838251348,838251348,1
r04-o18-rust-32768,4,rust,32768,195313,100000256,273669431,223978264113942993,223978264113942993,600685382,900002590,600685426,273696520,273696520,1
r04-o19-go-262144,4,go,262144,9766,40001536,699377724,85449381942251735,85449381942251735,1530019119,960102091,1530019502,698612430,698612430,true
r04-o20-c-6291456,4,c,6291456,102,10027008,508561492,21543721854647272,21543721854647272,1116253926,90243355,1116253930,508590164,508590164,1
r04-o21-cpp-1048576,4,cpp,1048576,1221,20004864,435704758,43098968983893989,43098968983893989,956339416,180044059,956339406,435730902,435730902,1
r04-o22-go-36864,4,go,36864,173612,100000512,1137073235,220423592280896003,220423592280896003,2489200343,2400115903,2489201836,1136099298,1136099298,true
