sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r03-o04-gcc13_no_prefetch-1048576,3,gcc13_no_prefetch,1048576,1221,20004864,422980768,43272497840938563,43272497840938563,928411296,180044059,928411286,423008724,423008724,1
r03-o05-gcc13_no_prefetch-536870912,3,gcc13_no_prefetch,536870912,1,8388608,841937248,18012249170480756,18012249170480756,1847986387,75497755,1847986404,841969639,841969639,1
r03-o06-gcc13_prefetch-536870912,3,gcc13_prefetch,536870912,1,8388608,903758840,18012249170480756,18012249170480756,1983680002,100663579,1983680006,903791792,903791792,1
r03-o07-gcc13_no_prefetch-262144,3,gcc13_no_prefetch,262144,9766,40001536,408653428,86445885965269521,86445885965269521,896963993,360014107,896964002,408680682,408680682,1
r03-o08-gcc13_prefetch-262144,3,gcc13_prefetch,262144,9766,40001536,589135542,86445885965269521,86445885965269521,1293107483,480018715,1293107464,589162907,589162907,1
r03-o09-gcc13_prefetch-32768,3,gcc13_prefetch,32768,195313,100000256,339938795,221271359518073939,221271359518073939,746140991,1200003355,746140956,339964786,339964786,1
r03-o10-gcc13_no_prefetch-36864,3,gcc13_no_prefetch,36864,173612,100000512,722282661,221395076082124221,221395076082124221,1585353972,900004891,1585353968,722309015,722309015,1
r03-o11-gcc13_prefetch-1048576,3,gcc13_prefetch,1048576,1221,20004864,419501507,43272497840938563,43272497840938563,920774757,240058651,920774778,419529139,419529139,1
r03-o12-gcc13_no_prefetch-6291456,3,gcc13_no_prefetch,6291456,102,10027008,444076569,21549733755203228,21549733755203228,974715181,90243355,974715192,444108310,444108310,1
r03-o13-gcc13_prefetch-6291456,3,gcc13_prefetch,6291456,102,10027008,453437197,21549733755203228,21549733755203228,995260921,120324379,995260926,453466657,453466657,1
r03-o14-gcc13_no_prefetch-32768,3,gcc13_no_prefetch,32768,195313,100000256,367748878,221271359518073939,221271359518073939,807181982,900002587,807181980,367775731,367775731,1
r04-o01-gcc13_no_prefetch-36864,4,gcc13_no_prefetch,36864,173612,100000512,722833493,221395076082124221,221395076082124221,1586563192,900004891,1586563176,722860720,722860720,1
r04-o02-gcc13_no_prefetch-6291456,4,gcc13_no_prefetch,6291456,102,10027008,521731202,21549733755203228,21549733755203228,1145160771,90243355,1145160786,521762113,521762113,1
r04-o03-gcc13_no_prefetch-8388608,4,gcc13_no_prefetch,8388608,62,8126464,433229562,17462239205602153,17462239205602153,950906647,73138459,950906660,433258848,433258848,1
r04-o04-gcc13_no_prefetch-1048576,4,gcc13_no_prefetch,1048576,1221,20004864,422788524,43272497840938563,43272497840938563,927989391,180044059,927989392,422815723,422815723,1
