language,implementation,value_type,footprint_bytes,repetitions,median_ns_per_element,min_ns_per_element,max_ns_per_element
cpp,scalar,float,67108864,15,1.406530000,1.405730000,1.409470000
cpp,scalar,int,32768,15,0.580315000,0.579625000,0.581485000
cpp,scalar,int,262144,15,0.590552000,0.589486000,0.591725000
cpp,scalar,int,1048576,15,0.595082000,0.594735000,0.595713000
cpp,scalar,int,8388608,15,0.653479000,0.649183000,0.668440000
cpp,scalar,int,67108864,15,0.666929000,0.666081000,0.668942000
cpp,scalar,short,32768,15,0.591073000,0.581349000,0.613411000
cpp,scalar,short,262144,15,0.590234000,0.588643000,0.734300000
cpp,scalar,short,1048576,15,0.590972000,0.590735000,0.601245000
cpp,scalar,short,8388608,15,0.623782000,0.617778000,0.626406000
cpp,scalar,short,67108864,15,0.628015000,0.627552000,0.629197000
cpp,scalar,string16,32768,15,4.142870000,4.139800000,4.149850000
cpp,scalar,string16,262144,15,4.980400000,4.968840000,4.997180000
cpp,scalar,string16,1048576,15,5.025600000,5.023400000,5.032490000
cpp,scalar,string16,8388608,15,5.264640000,5.223210000,5.319360000
cpp,scalar,string16,67108864,15,5.295050000,5.291260000,5.333920000
go,scalar,double,32768,15,1.371210000,1.371050000,1.386350000
go,scalar,double,262144,15,1.372230000,1.372090000,1.374790000
go,scalar,double,1048576,15,1.374420000,1.374030000,1.377460000
go,scalar,double,8388608,15,1.479830000,1.474420000,1.496110000
go,scalar,double,67108864,15,1.639490000,1.636480000,1.642490000
go,scalar,float,32768,15,1.370460000,1.370060000,1.380600000
go,scalar,float,262144,15,1.370790000,1.370700000,1.372910000
go,scalar,float,1048576,15,1.372100000,1.371640000,1.376900000
go,scalar,float,8388608,15,1.431820000,1.420910000,1.443090000
go,scalar,float,67108864,15,1.513470000,1.510760000,1.517930000
go,scalar,int,32768,15,0.653015000,0.652482000,0.672249000
go,scalar,int,262144,15,0.692394000,0.691022000,0.693905000
go,scalar,int,1048576,15,0.699323000,0.699051000,0.700016000
go,scalar,int,8388608,15,0.786950000,0.776403000,0.795023000
go,scalar,int,67108864,15,0.878796000,0.874357000,0.880908000
