comparison,iterations,pairs,median_net_tsc_ticks_per_target_instruction,p05_net_tsc_ticks_per_target_instruction,p95_net_tsc_ticks_per_target_instruction,median_net_core_cycles_per_target_instruction,p05_net_core_cycles_per_target_instruction,p95_net_core_cycles_per_target_instruction
add_latency_minus_empty,8,15,0.65234375,0.61328125,0.7421875,0.9912109375,0.8271484375,1.125
add_latency_minus_empty,800,15,0.68166015625,0.681015625,0.751748046875,0.991357421875,0.988505859375,0.99365234375
add_latency_minus_empty,80000,15,0.711711328125,0.702749414063,0.75951015625,0.996107128906,0.9940671875,1.00042314453
add_latency_minus_empty,12000000,15,0.704328596354,0.699633548828,0.709834655599,0.995463251953,0.995106436198,0.996082855469
imul_latency_minus_empty,12000000,15,2.12316507552,2.11352738346,2.16566383659,3.00193261133,3.00022623112,3.00303381706
shift_latency_minus_empty,12000000,15,0.703315257813,0.697570165365,0.747656147786,0.995343419271,0.993408193359,0.995646561198
and_zero_control_minus_xor_break_per_triplet,12000000,15,2.83760546875,2.78936763346,3.0065618724,4.0131107819,4.00199347852,4.01489806576
