mode,state,perf_profile,round,repetition,iterations,target_instructions_per_iteration,dynamic_target_instructions,tsc_ticks,wall_ns,cpu_before,cpu_after,minor_faults,major_faults,checksum,cycles,cycles_enabled,cycles_running,instructions,instructions_enabled,instructions_running,ref_cycles,ref_cycles_enabled,ref_cycles_running,branches,branches_enabled,branches_running,branch_misses,branch_misses_enabled,branch_misses_running,uops_issued_any,uops_issued_any_enabled,uops_issued_any_running,uops_retired_all,uops_retired_all_enabled,uops_retired_all_running,port0_active_cycles,port0_active_cycles_enabled,port0_active_cycles_running,port1_active_cycles,port1_active_cycles_enabled,port1_active_cycles_running,port5_active_cycles,port5_active_cycles_enabled,port5_active_cycles_running
empty,warm,basic,0,0,100000,0,0,71068,32415,4,4,0,0,0,101348,50925,50925,200674,49999,49999,72336,48832,48832,100272,47191,47191,20,44998,44998,,,,,,,,,,,,,,,
page_state_probe,page_cold,basic,1,0,1,0,0,2279536,1038720,4,4,1027,0,0,747102,1074298,1074298,7866,1070990,1070990,533082,1069097,1069097,2329,1067235,1067235,56,1064932,1064932,,,,,,,,,,,,,,,
add_latency,warm,basic,1,0,1000000000,1,1000000000,707463176,322319230,4,4,0,0,3000000001,1003338450,322341285,322341285,3000000674,322340653,322340653,691169028,322339857,322339857,1000000272,322338555,322338555,27,322336434,322336434,,,,,,,,,,,,,,,
add_throughput_8,warm,basic,1,0,1000000000,8,8000000000,1657357862,755089490,4,4,0,0,24000000008,2340522656,755112302,755112302,10000000702,755112144,755112144,1622398866,755111854,755111854,1000000272,755110838,755110838,29,755109339,755109339,,,,,,,,,,,,,,,
empty,warm,basic,1,0,100000,0,0,71040,32420,4,4,0,0,0,101332,50855,50855,200674,49960,49960,72358,48796,48796,100272,47169,47169,21,44934,44934,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,1,0,1000000000,4,4000000000,949460266,432572615,4,4,0,0,12000000004,1346258275,432595614,432595614,6000000685,432595463,432595463,927611190,432594961,432594961,1000000272,432593817,432593817,23,432591669,432591669,,,,,,,,,,,,,,,
add_latency,warm,basic,1,0,10000000,1,10000000,7211510,3285632,4,4,0,0,30000001,10055107,3303824,3303824,30000674,3303058,3303058,6938690,3301895,3301895,10000272,3300268,3300268,25,3297951,3297951,,,,,,,,,,,,,,,
add_latency,warm,expanded,1,0,1000000000,1,1000000000,718915584,327536813,4,4,0,0,3000000001,502208424,327590529,162588717,1793899755,327589746,195588650,485615834,327588868,228586614,698578396,327587337,228603807,264,327585013,228585408,1399905867,327581841,229477854,1404421494,327577806,230467846,133730844,327573007,131984860,133724658,327567924,131110756,133312221,327563324,130112240
add_throughput_1,warm,basic,1,0,1000000000,1,1000000000,722076072,328976856,4,4,0,0,3000000001,1011919951,329000513,329000513,3000000676,329000339,329000339,706665938,329000008,329000008,1000000272,328998924,328998924,32,328996914,328996914,,,,,,,,,,,,,,,
empty,warm,basic,1,0,1000000000,0,0,707576760,322370934,4,4,0,0,0,1003351235,322393294,322393294,2000000674,322393300,322393300,691515770,322392911,322392911,1000000272,322391909,322391909,27,322390042,322390042,,,,,,,,,,,,,,,
