build_id,mode,implementation,state,perf_profile,footprint_bytes,reason,rows
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,dtlb_walk,536870912,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l1_miss,32768,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l1_miss,262144,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l1_miss,1048576,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l1_miss,6291456,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l1_miss,8388608,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l1_miss,33554432,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l1_miss,536870912,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l2_miss,32768,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l2_miss,262144,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l2_miss,1048576,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l2_miss,6291456,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l2_miss,8388608,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l2_miss,33554432,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l2_miss,536870912,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l3_miss,32768,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l3_miss,262144,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l3_miss,1048576,counter_missing_or_multiplexed,14
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l3_miss,1048576,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l3_miss,6291456,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l3_miss,8388608,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l3_miss,33554432,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,cache_evicted,l3_miss,536870912,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,basic,7340032,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,warm,basic,8388608,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,warm,branch,262144,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,warm,dtlb_walk,134217728,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,8192,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,16384,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,24576,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,28672,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,32768,counter_missing_or_multiplexed,14
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,32768,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,36864,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,49152,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,65536,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,98304,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,131072,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,196608,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,229376,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,262144,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,294912,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,393216,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,524288,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,1048576,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,2097152,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,4194304,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,5242880,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,6291456,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,7340032,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,8388608,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,12582912,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,33554432,counter_missing_or_multiplexed,14
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,33554432,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,134217728,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l1_miss,536870912,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l2_miss,8192,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l2_miss,16384,counter_missing_or_multiplexed,15
