sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o12-rust-1048576,2,rust,1048576,1221,20004864,487659809,43272497840938563,43272497840938563,1070376794,240058654,1070376780,487689351,487689351,1
r02-o13-c-36864,2,c,36864,173612,100000512,852364854,221395076082124221,221395076082124221,1870873762,1200006429,1870873774,852393303,852393303,1
r02-o14-cpp-36864,2,cpp,36864,173612,100000512,875354150,221395076082124221,221395076082124221,1921333494,1200006427,1921333524,875381537,875381537,1
r02-o15-rust-6291456,2,rust,6291456,102,10027008,790307337,21549733755203228,21549733755203228,1734663319,120324382,1734663326,790340171,790340171,1
r02-o16-cpp-262144,2,cpp,262144,9766,40001536,552510571,86445885965269521,86445885965269521,1212718476,480018715,1212718452,552537422,552537422,1
r02-o17-cpp-32768,2,cpp,32768,195313,100000256,341620817,221271359518073939,221271359518073939,749833156,1200003355,749833150,341647666,341647666,1
r02-o18-go-536870912,2,go,536870912,1,8388608,884546606,18012249170480756,18012249170480756,1936639835,394339535,1936639804,883680291,883680291,true
r02-o19-c-6291456,2,c,6291456,102,10027008,658004750,21549733755203228,21549733755203228,1444270160,120324381,1444270168,658036000,658036000,1
r02-o20-cpp-536870912,2,cpp,536870912,1,8388608,899639909,18012249170480756,18012249170480756,1974639493,100663579,1974639480,899673478,899673478,1
r02-o21-c-536870912,2,c,536870912,1,8388608,906523844,18012249170480756,18012249170480756,1989748947,100663581,1989748926,906555637,906555637,1
r02-o22-rust-36864,2,rust,36864,173612,100000512,868296563,221395076082124221,221395076082124221,1905614977,1200006472,1905614876,868324874,868324874,1
r02-o23-rust-8388608,2,rust,8388608,62,8126464,573600924,17462239205602153,17462239205602153,1259010721,97517854,1259010698,573631582,573631582,1
r02-o24-rust-262144,2,rust,262144,9766,40001536,458271187,86445885965269521,86445885965269521,1005871050,480018718,1005871064,458300076,458300076,1
r02-o25-c-8388608,2,c,8388608,62,8126464,515046140,17462239205602153,17462239205602153,1130487399,97517853,1130487380,515076345,515076345,1
r02-o26-cpp-6291456,2,cpp,6291456,102,10027008,460260726,21549733755203228,21549733755203228,1010237592,120324379,1010237602,460290002,460290002,1
r02-o27-go-32768,2,go,32768,195313,100000256,997548435,221271359518073939,221271359518073939,2183755718,4700100675,2183756806,996545474,996545474,true
r02-o28-c-262144,2,c,262144,9766,40001536,557340767,86445885965269521,86445885965269521,1223227015,480018719,1223227016,557352443,557352443,1
r03-o01-c-8388608,3,c,8388608,62,8126464,466935460,17462239205602153,17462239205602153,1024888227,97517853,1024888238,466964400,466964400,1
r03-o02-rust-262144,3,rust,262144,9766,40001536,449459668,86445885965269521,86445885965269521,986530389,480018718,986530402,449487780,449487780,1
r03-o03-cpp-6291456,3,cpp,6291456,102,10027008,698803426,21549733755203228,21549733755203228,1533819338,120324379,1533819342,698834074,698834074,1
r03-o04-cpp-8388608,3,cpp,8388608,62,8126464,472713665,17462239205602153,17462239205602153,1037571996,97517851,1037572008,472745842,472745842,1
r03-o05-go-262144,3,go,262144,9766,40001536,664982720,86445885965269521,86445885965269521,1453920293,1880132734,1453921480,664251333,664251333,true
r03-o06-go-8388608,3,go,8388608,62,8126464,497393342,17462239205602153,17462239205602153,1088664163,382006991,1088664038,496846335,496846335,true
r03-o07-rust-32768,3,rust,32768,195313,100000256,298236497,221271359518073939,221271359518073939,654608747,1200003358,654608746,298263371,298263371,1
r03-o08-go-36864,3,go,36864,173612,100000512,1449406740,221395076082124221,221395076082124221,3173999528,4700152461,3174000896,1448175952,1448175952,true
r03-o09-rust-8388608,3,rust,8388608,62,8126464,517145487,17462239205602153,17462239205602153,1135095452,97517854,1135095478,517175470,517175470,1
r03-o10-c-536870912,3,c,536870912,1,8388608,898639341,18012249170480756,18012249170480756,1972443555,100663581,1972443594,898671591,898671591,1
