variant,implementation,value_type,footprint_bytes,repetitions,median_ns_per_element,p10_ns_per_element,p90_ns_per_element,min_ns_per_element,max_ns_per_element
clangpp,scalar,int,262144,15,0.457106000,0.456451000,0.457563000,0.456436000,0.457588000
clangpp,scalar,int,1048576,15,0.461690000,0.461362000,0.462030000,0.461318000,0.462110000
clangpp,scalar,int,8388608,15,0.523199000,0.521279000,0.575851000,0.521122000,0.583392000
clangpp,scalar,int,67108864,15,0.563579000,0.562953000,0.569226000,0.562457000,0.574213000
clangpp,scalar,short,32768,15,0.455809000,0.455669000,0.455968000,0.455642000,0.456088000
clangpp,scalar,short,262144,15,0.455927000,0.455872000,0.456066000,0.455848000,0.456101000
clangpp,scalar,short,1048576,15,0.457665000,0.457611000,0.457805000,0.457592000,0.457833000
clangpp,scalar,short,8388608,15,0.488475000,0.486761000,0.495777000,0.486677000,0.499335000
clangpp,scalar,short,67108864,15,0.497435000,0.497340000,0.498293000,0.497226000,0.498850000
clangpp,scalar,string16,32768,15,4.146240000,4.144350000,4.154950000,4.138820000,4.191430000
clangpp,scalar,string16,262144,15,4.978090000,4.974450000,4.989030000,4.971940000,4.990040000
clangpp,scalar,string16,1048576,15,5.025590000,5.024250000,5.026920000,5.023270000,5.027390000
clangpp,scalar,string16,8388608,15,5.234020000,5.228560000,5.274250000,5.221640000,5.276800000
clangpp,scalar,string16,67108864,15,5.294340000,5.289530000,5.297900000,5.287790000,5.298880000
cpp,avx2,double,32768,15,0.336455000,0.336393000,0.336830000,0.336392000,0.336989000
cpp,avx2,double,262144,15,0.344368000,0.343603000,0.345771000,0.343014000,0.346950000
cpp,avx2,double,1048576,15,0.348123000,0.347435000,0.348357000,0.347274000,0.348358000
cpp,avx2,double,8388608,15,0.480420000,0.476857000,0.530749000,0.476658000,0.533380000
cpp,avx2,double,67108864,15,0.610720000,0.609309000,0.642707000,0.608696000,0.650300000
cpp,avx2,float,32768,15,0.169256000,0.168983000,0.171165000,0.168976000,0.171497000
cpp,avx2,float,262144,15,0.172397000,0.171931000,0.173109000,0.171838000,0.173176000
cpp,avx2,float,1048576,15,0.174167000,0.173717000,0.174212000,0.173673000,0.174506000
cpp,avx2,float,8388608,15,0.241768000,0.240181000,0.266938000,0.239991000,0.305550000
cpp,avx2,float,67108864,15,0.305674000,0.304744000,0.318136000,0.304709000,0.338283000
cpp,avx2,int,32768,15,0.067685800,0.067480700,0.068171400,0.067364800,0.068352300
cpp,avx2,int,262144,15,0.107765000,0.095436700,0.117951000,0.095099700,0.120607000
cpp,avx2,int,1048576,15,0.143133000,0.142921000,0.143389000,0.142909000,0.143448000
cpp,avx2,int,8388608,15,0.222426000,0.219689000,0.273505000,0.217647000,0.283525000
cpp,avx2,int,67108864,15,0.302930000,0.299903000,0.307031000,0.299299000,0.317917000
cpp,avx2,short,32768,15,0.034436900,0.034369800,0.034969700,0.034361500,0.035196400
cpp,avx2,short,262144,15,0.053916300,0.049028100,0.058721300,0.048397700,0.060330100
cpp,avx2,short,1048576,15,0.071559400,0.071517500,0.071646200,0.071483200,0.071700100
cpp,avx2,short,8388608,15,0.110902000,0.109226000,0.128540000,0.109170000,0.131366000
cpp,avx2,short,67108864,15,0.150039000,0.149749000,0.153258000,0.149670000,0.153659000
cpp,avx2,string16,32768,15,0.461421000,0.461318000,0.462550000,0.461310000,0.463200000
cpp,avx2,string16,262144,15,0.560470000,0.543541000,0.582537000,0.537987000,0.585072000
cpp,avx2,string16,1048576,15,0.647975000,0.647226000,0.649138000,0.646382000,0.649428000
cpp,avx2,string16,8388608,15,0.960976000,0.954136000,1.076940000,0.950479000,1.177260000
cpp,avx2,string16,67108864,15,1.226000000,1.223710000,1.260400000,1.223680000,1.263500000
cpp,scalar,double,32768,15,1.367570000,1.366880000,1.369060000,1.366800000,1.376580000
cpp,scalar,double,262144,15,1.367450000,1.366880000,1.367720000,1.366860000,1.367840000
cpp,scalar,double,1048576,15,1.367460000,1.367000000,1.368860000,1.366890000,1.369440000
cpp,scalar,double,8388608,15,1.468260000,1.465750000,1.483410000,1.463560000,1.486870000
cpp,scalar,double,67108864,15,1.493670000,1.492850000,1.494820000,1.492260000,1.494910000
cpp,scalar,float,32768,15,1.367340000,1.366990000,1.369860000,1.366870000,1.380670000
cpp,scalar,float,262144,15,1.367180000,1.366870000,1.367270000,1.366850000,1.367320000
cpp,scalar,float,1048576,15,1.367380000,1.367010000,1.367500000,1.367000000,1.367500000
cpp,scalar,float,8388608,15,1.411970000,1.403820000,1.419090000,1.400140000,1.428880000
cpp,scalar,float,67108864,15,1.426260000,1.425710000,1.426650000,1.425710000,1.426970000
cpp,scalar,int,32768,15,0.580706000,0.580401000,0.582082000,0.580332000,0.587254000
cpp,scalar,int,262144,15,0.588258000,0.587263000,0.588728000,0.586656000,0.588923000
cpp,scalar,int,1048576,15,0.593145000,0.592823000,0.593665000,0.592591000,0.594090000
cpp,scalar,int,8388608,15,0.650200000,0.648827000,0.655621000,0.647828000,0.660790000
cpp,scalar,int,67108864,15,0.667407000,0.666916000,0.669855000,0.666842000,0.687417000
