variant,implementation,value_type,footprint_bytes,repetitions,median_cycles_per_element,p10_cycles_per_element,p90_cycles_per_element,median_instructions_per_element,p10_instructions_per_element,p90_instructions_per_element,median_ref_cycles_per_element
c,scalar,string16,8388608,15,15.557300000,15.450500000,15.578600000,36.000000000,36.000000000,36.000000000,15.557300000
c,scalar,string16,67108864,15,15.616600000,15.607600000,15.629300000,36.000000000,36.000000000,36.000000000,15.616600000
clangpp,scalar,double,32768,15,3.000270000,3.000040000,3.001740000,1.377200000,1.377200000,1.377200000,3.000270000
clangpp,scalar,double,262144,15,3.000240000,3.000100000,3.000300000,1.375280000,1.375280000,1.375280000,3.000240000
clangpp,scalar,double,1048576,15,3.000590000,3.000330000,3.000790000,1.375070000,1.375070000,1.375070000,3.000590000
clangpp,scalar,double,8388608,15,3.140500000,3.128590000,3.155350000,1.375010000,1.375010000,1.375010000,3.140500000
clangpp,scalar,double,67108864,15,3.186150000,3.185370000,3.187860000,1.375010000,1.375010000,1.375010000,3.186150000
clangpp,scalar,float,32768,15,3.000330000,3.000080000,3.001740000,1.376100000,1.376100000,1.376100000,3.000330000
clangpp,scalar,float,262144,15,3.000140000,3.000090000,3.000170000,1.375140000,1.375140000,1.375140000,3.000140000
clangpp,scalar,float,1048576,15,3.000340000,3.000180000,3.000490000,1.375040000,1.375040000,1.375040000,3.000340000
clangpp,scalar,float,8388608,15,3.054020000,3.047900000,3.069940000,1.375010000,1.375010000,1.375010000,3.054020000
clangpp,scalar,float,67108864,15,3.083890000,3.083210000,3.086020000,1.375000000,1.375000000,1.375000000,3.083890000
clangpp,scalar,int,32768,15,1.000330000,1.000050000,1.003250000,1.376100000,1.376100000,1.376100000,1.000330000
clangpp,scalar,int,262144,15,1.003320000,1.001880000,1.004170000,1.375140000,1.375140000,1.375140000,1.003320000
clangpp,scalar,int,1048576,15,1.013350000,1.012660000,1.013760000,1.375040000,1.375040000,1.375040000,1.013350000
clangpp,scalar,int,8388608,15,1.148020000,1.144180000,1.263230000,1.375010000,1.375010000,1.375010000,1.148020000
clangpp,scalar,int,67108864,15,1.236980000,1.235650000,1.249420000,1.375000000,1.375000000,1.375000000,1.236980000
clangpp,scalar,short,32768,15,1.000220000,1.000100000,1.000560000,1.375550000,1.375550000,1.375550000,1.000220000
clangpp,scalar,short,262144,15,1.000630000,1.000550000,1.000760000,1.375070000,1.375070000,1.375070000,1.000630000
clangpp,scalar,short,1048576,15,1.004440000,1.004130000,1.004560000,1.375020000,1.375020000,1.375020000,1.004440000
clangpp,scalar,short,8388608,15,1.071810000,1.068050000,1.088190000,1.375000000,1.375000000,1.375000000,1.071810000
clangpp,scalar,short,67108864,15,1.091570000,1.091380000,1.093370000,1.375000000,1.375000000,1.375000000,1.091570000
clangpp,scalar,string16,32768,15,9.099410000,9.093790000,9.116940000,35.002900000,35.002900000,35.002900000,9.099410000
clangpp,scalar,string16,262144,15,10.923700000,10.916900000,10.947700000,35.000400000,35.000400000,35.000400000,10.923700000
clangpp,scalar,string16,1048576,15,11.029100000,11.026400000,11.030800000,35.000100000,35.000100000,35.000100000,11.029100000
clangpp,scalar,string16,8388608,15,11.488300000,11.473400000,11.573600000,35.000000000,35.000000000,35.000000000,11.488300000
clangpp,scalar,string16,67108864,15,11.617800000,11.610100000,11.625600000,35.000000000,35.000000000,35.000000000,11.617800000
cpp,avx2,double,32768,15,0.738402000,0.738306000,0.738603000,1.005130000,1.005130000,1.005130000,0.738402000
cpp,avx2,double,262144,15,0.755176000,0.753021000,0.758398000,1.000640000,1.000640000,1.000640000,0.755176000
cpp,avx2,double,1048576,15,0.764055000,0.762546000,0.764569000,1.000160000,1.000160000,1.000160000,0.764055000
cpp,avx2,double,8388608,15,1.054440000,1.046620000,1.164910000,1.000020000,1.000020000,1.000020000,1.054440000
cpp,avx2,double,67108864,15,1.340440000,1.337340000,1.410650000,1.000000000,1.000000000,1.000000000,1.340440000
cpp,avx2,float,32768,15,0.371346000,0.370881000,0.375669000,0.505860000,0.505860000,0.505860000,0.371346000
cpp,avx2,float,262144,15,0.378373000,0.377350000,0.379936000,0.500733000,0.500733000,0.500733000,0.378373000
cpp,avx2,float,1048576,15,0.382260000,0.381270000,0.382340000,0.500184000,0.500184000,0.500184000,0.382260000
cpp,avx2,float,8388608,15,0.530639000,0.527154000,0.585885000,0.500024000,0.500024000,0.500024000,0.530639000
cpp,avx2,float,67108864,15,0.670716000,0.668865000,0.698260000,0.500004000,0.500004000,0.500004000,0.670716000
cpp,avx2,int,32768,15,0.148528000,0.148121000,0.149638000,0.503297000,0.503297000,0.503297000,0.148528000
cpp,avx2,int,262144,15,0.236542000,0.209482000,0.258899000,0.500413000,0.500413000,0.500413000,0.236542000
cpp,avx2,int,1048576,15,0.314161000,0.313706000,0.314279000,0.500104000,0.500104000,0.500104000,0.314161000
cpp,avx2,int,8388608,15,0.488213000,0.482206000,0.600329000,0.500014000,0.500014000,0.500014000,0.488213000
cpp,avx2,int,67108864,15,0.664914000,0.658069000,0.673916000,0.500002000,0.500002000,0.500002000,0.664914000
cpp,avx2,short,32768,15,0.075589400,0.075441900,0.076585300,0.252625000,0.252625000,0.252625000,0.075589400
cpp,avx2,short,262144,15,0.118345000,0.107274000,0.128549000,0.250328000,0.250328000,0.250328000,0.118345000
cpp,avx2,short,1048576,15,0.157065000,0.156979000,0.157253000,0.250082000,0.250082000,0.250082000,0.157065000
cpp,avx2,short,8388608,15,0.243425000,0.239747000,0.282139000,0.250011000,0.250011000,0.250011000,0.243425000
cpp,avx2,short,67108864,15,0.329294000,0.328692000,0.336026000,0.250002000,0.250002000,0.250002000,0.329294000
cpp,avx2,string16,32768,15,1.012760000,1.012570000,1.013670000,3.511230000,3.511230000,3.511230000,1.012760000
cpp,avx2,string16,262144,15,1.230210000,1.193050000,1.278650000,3.501410000,3.501410000,3.501410000,1.230210000
cpp,avx2,string16,1048576,15,1.422280000,1.420630000,1.423640000,3.500350000,3.500350000,3.500350000,1.422280000
cpp,avx2,string16,8388608,15,2.109290000,2.094280000,2.363820000,3.500050000,3.500050000,3.500050000,2.109290000
cpp,avx2,string16,67108864,15,2.690990000,2.685980000,2.766510000,3.500010000,3.500010000,3.500010000,2.690990000
cpp,scalar,double,32768,15,3.000370000,3.000210000,3.004990000,4.001710000,4.001710000,4.001710000,3.000370000
cpp,scalar,double,262144,15,3.000330000,3.000150000,3.000550000,4.000220000,4.000220000,4.000220000,3.000330000
cpp,scalar,double,1048576,15,3.001190000,3.000460000,3.003070000,4.000050000,4.000050000,4.000050000,3.001190000
cpp,scalar,double,8388608,15,3.222400000,3.215790000,3.255980000,4.000010000,4.000010000,4.000010000,3.222400000
cpp,scalar,double,67108864,15,3.278330000,3.276490000,3.279580000,4.000000000,4.000000000,4.000000000,3.278330000
cpp,scalar,float,32768,15,3.000850000,3.000320000,3.006740000,4.000860000,4.000860000,4.000860000,3.000850000
cpp,scalar,float,262144,15,3.000160000,3.000090000,3.000300000,4.000110000,4.000110000,4.000110000,3.000160000
