variant,implementation,value_type,footprint_bytes,repetitions,median_cycles_per_element,p10_cycles_per_element,p90_cycles_per_element,median_instructions_per_element,p10_instructions_per_element,p90_instructions_per_element,median_ref_cycles_per_element
rust,scalar,double,8388608,15,3.223190000,3.211400000,3.274070000,4.000010000,4.000010000,4.000010000,3.223190000
rust,scalar,double,67108864,15,3.278060000,3.274580000,3.279550000,4.000000000,4.000000000,4.000000000,3.278060000
rust,scalar,float,32768,15,3.001790000,3.000300000,3.017280000,4.000610000,4.000610000,4.000610000,3.001790000
rust,scalar,float,262144,15,3.000150000,3.000100000,3.000190000,4.000080000,4.000080000,4.000080000,3.000150000
rust,scalar,float,1048576,15,3.000560000,3.000170000,3.000860000,4.000020000,4.000020000,4.000020000,3.000560000
rust,scalar,float,8388608,15,3.087890000,3.080430000,3.142460000,4.000000000,4.000000000,4.000000000,3.087890000
rust,scalar,float,67108864,15,3.129640000,3.129020000,3.131560000,4.000000000,4.000000000,4.000000000,3.129640000
rust,scalar,int,32768,15,1.277050000,1.276810000,1.278010000,4.000610000,4.000610000,4.000610000,1.277050000
rust,scalar,int,262144,15,1.292530000,1.291160000,1.293950000,4.000080000,4.000080000,4.000080000,1.292530000
rust,scalar,int,1048576,15,1.302930000,1.301280000,1.304960000,4.000020000,4.000020000,4.000020000,1.302930000
rust,scalar,int,8388608,15,1.428700000,1.423320000,1.460060000,4.000000000,4.000000000,4.000000000,1.428700000
rust,scalar,int,67108864,15,1.464270000,1.463430000,1.470960000,4.000000000,4.000000000,4.000000000,1.464270000
rust,scalar,short,32768,15,1.275230000,1.274870000,1.282130000,4.000310000,4.000310000,4.000310000,1.275230000
rust,scalar,short,262144,15,1.292750000,1.291710000,1.293740000,4.000040000,4.000040000,4.000040000,1.292750000
rust,scalar,short,1048576,15,1.298030000,1.295860000,1.298920000,4.000010000,4.000010000,4.000010000,1.298030000
rust,scalar,short,8388608,15,1.359730000,1.355230000,1.368780000,4.000000000,4.000000000,4.000000000,1.359730000
rust,scalar,short,67108864,15,1.378350000,1.377820000,1.381080000,4.000000000,4.000000000,4.000000000,1.378350000
rust,scalar,string16,32768,15,9.067960000,9.057600000,9.139310000,35.003900000,35.003900000,35.003900000,9.067960000
rust,scalar,string16,262144,15,10.928400000,10.903900000,10.949800000,35.000500000,35.000500000,35.000500000,10.928400000
rust,scalar,string16,1048576,15,11.030200000,11.028600000,11.033100000,35.000100000,35.000100000,35.000100000,11.030200000
rust,scalar,string16,8388608,15,11.507200000,11.454400000,11.574400000,35.000000000,35.000000000,35.000000000,11.507200000
rust,scalar,string16,67108864,15,11.622600000,11.607500000,11.721200000,35.000000000,35.000000000,35.000000000,11.622600000
rust_unroll,u1,double,32768,15,3.001000000,3.000360000,3.006120000,4.001220000,4.001220000,4.001220000,3.001000000
rust_unroll,u1,double,262144,15,3.000220000,3.000110000,3.000420000,4.000150000,4.000150000,4.000150000,3.000220000
rust_unroll,u1,double,1048576,15,3.001170000,3.000670000,3.001530000,4.000040000,4.000040000,4.000040000,3.001170000
rust_unroll,u1,double,8388608,15,3.222660000,3.214640000,3.247020000,4.000010000,4.000010000,4.000010000,3.222660000
rust_unroll,u1,double,67108864,15,3.279090000,3.277950000,3.282710000,4.000000000,4.000000000,4.000000000,3.279090000
rust_unroll,u1,float,32768,15,3.000650000,3.000380000,3.002540000,4.000610000,4.000610000,4.000610000,3.000650000
rust_unroll,u1,float,262144,15,3.000140000,3.000070000,3.000230000,4.000080000,4.000080000,4.000080000,3.000140000
rust_unroll,u1,float,1048576,15,3.000500000,3.000180000,3.000750000,4.000020000,4.000020000,4.000020000,3.000500000
rust_unroll,u1,float,8388608,15,3.091870000,3.082570000,3.111940000,4.000000000,4.000000000,4.000000000,3.091870000
rust_unroll,u1,float,67108864,15,3.129740000,3.128900000,3.132370000,4.000000000,4.000000000,4.000000000,3.129740000
rust_unroll,u2,double,32768,15,3.000480000,3.000130000,3.004350000,6.002440000,6.002440000,6.002440000,3.000480000
rust_unroll,u2,double,262144,15,3.000230000,3.000170000,3.000350000,6.000310000,6.000310000,6.000310000,3.000230000
rust_unroll,u2,double,1048576,15,3.001180000,3.000380000,3.002120000,6.000080000,6.000080000,6.000080000,3.001180000
rust_unroll,u2,double,8388608,15,3.227160000,3.219700000,3.252960000,6.000010000,6.000010000,6.000010000,3.227160000
rust_unroll,u2,double,67108864,15,3.286260000,3.284170000,3.288400000,6.000000000,6.000000000,6.000000000,3.286260000
rust_unroll,u2,float,32768,15,3.001980000,3.000370000,3.003040000,6.001220000,6.001220000,6.001220000,3.001980000
rust_unroll,u2,float,262144,15,3.000150000,3.000090000,3.000200000,6.000150000,6.000150000,6.000150000,3.000150000
rust_unroll,u2,float,1048576,15,3.000560000,3.000170000,3.002650000,6.000040000,6.000040000,6.000040000,3.000560000
rust_unroll,u2,float,8388608,15,3.083170000,3.079090000,3.109450000,6.000010000,6.000010000,6.000010000,3.083170000
rust_unroll,u2,float,67108864,15,3.126390000,3.124740000,3.127650000,6.000000000,6.000000000,6.000000000,3.126390000
rust_unroll,u8,double,32768,15,3.000580000,3.000190000,3.003420000,4.502200000,4.502200000,4.502200000,3.000580000
rust_unroll,u8,double,262144,15,3.000260000,3.000150000,3.000550000,4.500280000,4.500280000,4.500280000,3.000260000
rust_unroll,u8,double,1048576,15,3.000680000,3.000510000,3.000880000,4.500070000,4.500070000,4.500070000,3.000680000
rust_unroll,u8,double,8388608,15,3.148290000,3.143580000,3.167840000,4.500010000,4.500010000,4.500010000,3.148290000
rust_unroll,u8,double,67108864,15,3.217360000,3.215520000,3.218970000,4.500000000,4.500000000,4.500000000,3.217360000
rust_unroll,u8,float,32768,15,3.000480000,3.000260000,3.001890000,4.501100000,4.501100000,4.501100000,3.000480000
rust_unroll,u8,float,262144,15,3.000130000,3.000050000,3.000180000,4.500140000,4.500140000,4.500140000,3.000130000
rust_unroll,u8,float,1048576,15,3.000580000,3.000160000,3.002370000,4.500030000,4.500030000,4.500030000,3.000580000
rust_unroll,u8,float,8388608,15,3.070530000,3.060200000,3.092020000,4.500000000,4.500000000,4.500000000,3.070530000
rust_unroll,u8,float,67108864,15,3.102340000,3.100220000,3.103150000,4.500000000,4.500000000,4.500000000,3.102340000
