build_id,mode,implementation,state,perf_profile,footprint_bytes,reason,rows
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,262144,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,basic,6291456,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,32768,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,cache_evicted,branch,1048576,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,28672,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,65536,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,98304,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,131072,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,262144,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,294912,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,393216,timed_page_fault,2
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,4194304,timed_page_fault,2
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,basic,12582912,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,8192,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,98304,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,131072,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,196608,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,524288,timed_page_fault,2
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,4194304,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,5242880,timed_page_fault,3
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,6291456,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,7340032,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,8388608,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,12582912,timed_page_fault,1
prefetch-gcc13-scalar,prefetch_chain,scalar,warm,branch,33554432,timed_page_fault,1
