sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o23-go-1048576,2,go,1048576,2048,33554432,76321076,33554432,33554432,165451892,234908230,165451924,75930277,75930277,true
r02-o24-go-36864,2,go,36864,58255,33554880,40188767,3284255168,3284255168,86498882,235357374,86499292,39874469,39874469,true
r02-o25-rust-1048576,2,rust,1048576,2048,33554432,72473112,33554432,33554432,159076265,134223643,159076236,72501373,72501373,1
r02-o26-cpp-8388608,2,cpp,8388608,256,33554432,125296383,33554432,33554432,275019053,134219292,275019052,125326817,125326817,1
r02-o27-rust-8388608,2,rust,8388608,256,33554432,121379643,33554432,33554432,266422373,134218715,266422398,121410723,121410723,1
r02-o28-cpp-6291456,2,cpp,6291456,342,33619968,90906084,50397184,50397184,199534958,134481866,199534962,90936486,90936486,1
r03-o01-rust-36864,3,rust,36864,58255,33554880,38041366,3284255168,3284255168,83501222,134380013,83501242,38065224,38065224,1
r03-o02-cpp-536870912,3,cpp,536870912,4,33554432,158116961,33554432,33554432,347058437,134218032,347058426,158150939,158150939,1
r03-o03-cpp-262144,3,cpp,262144,8192,33554432,48416337,33554432,33554432,106273394,134258972,106273398,48442842,48442842,1
r03-o04-cpp-6291456,3,cpp,6291456,342,33619968,91920122,50397184,50397184,201760683,134481866,201760658,91949574,91949574,1
r03-o05-rust-6291456,3,rust,6291456,342,33619968,93184306,50397184,50397184,204535608,134481102,204535628,93214261,93214261,1
r03-o06-cpp-36864,3,cpp,36864,58255,33554880,38055251,3284255168,3284255168,83531519,134511079,83531536,38081714,38081714,1
r03-o07-rust-8388608,3,rust,8388608,256,33554432,111416103,33554432,33554432,244552920,134218715,244552924,111446027,111446027,1
r03-o08-rust-536870912,3,rust,536870912,4,33554432,158921038,33554432,33554432,348822901,134218022,348822892,158955999,158955999,1
r03-o09-c-32768,3,c,32768,65536,33554432,20225998,33554432,33554432,44398587,134545680,44398574,20253697,20253697,1
r03-o10-c-536870912,3,c,536870912,4,33554432,161302389,33554432,33554432,354049912,134218020,354049894,161332969,161332969,1
r03-o11-go-8388608,3,go,8388608,256,33554432,116785281,33554432,33554432,254704007,235295609,254703944,116577717,116577717,true
r03-o12-c-36864,3,c,36864,58255,33554880,38609011,3284255168,3284255168,84746979,134511067,84746992,38633725,38633725,1
r03-o13-go-262144,3,go,262144,8192,33554432,62057906,33554432,33554432,134501076,234955350,134501070,61755839,61755839,true
r03-o14-rust-32768,3,rust,32768,65536,33554432,20263512,33554432,33554432,44480064,134398235,44480084,20287295,20287295,1
r03-o15-go-6291456,3,go,6291456,342,33619968,107734441,50397184,50397184,234999119,235752367,234999292,107562535,107562535,true
r03-o16-c-262144,3,c,262144,8192,33554432,59216148,33554432,33554432,129978098,134258960,129978090,59242772,59242772,1
r03-o17-cpp-1048576,3,cpp,1048576,2048,33554432,72281000,33554432,33554432,158654081,134228252,158654078,72306638,72306638,1
