sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o08-gcc13_scalar-36864,2,gcc13_scalar,36864,36409,335545344,287760359,3368420452,3368420452,631613391,1677909049,631613356,287786406,287786406,1
r02-o09-clang18_auto-262144,2,clang18_auto,262144,5120,335544320,450966866,1812397056,1812397056,989841100,786556031,989841116,450995056,450995056,1
r02-o10-gcc13_auto-1048576,2,gcc13_auto,1048576,1280,335544320,716822208,2000108288,2000108288,1573369539,964709424,1573369556,716850888,716850888,1
r02-o11-gcc13_scalar-8388608,2,gcc13_scalar,8388608,160,335544320,2503152163,2634976128,2634976128,5494215038,1677722684,5494215056,2503184411,2503184411,1
r02-o12-gcc13_scalar-1048576,2,gcc13_scalar,1048576,1280,335544320,769853273,2000108288,2000108288,1689767841,1677728284,1689767838,769881087,769881087,1
r02-o13-clang18_scalar-32768,2,clang18_scalar,32768,40960,335544320,251013287,3633848320,3633848320,550958987,797287556,550958980,251041835,251041835,1
r02-o14-clang18_auto-8388608,2,clang18_auto,8388608,160,335544320,2321753657,2634976128,2634976128,5096063683,786436991,5096063676,2321790979,2321790979,1
r02-o15-gcc13_auto-536870912,2,gcc13_auto,536870912,3,402653184,10633734344,1543198232,1543198232,23340168776,1157628253,23340168786,10633770184,10633770184,1
r02-o16-gcc13_scalar-262144,2,gcc13_scalar,262144,5120,335544320,485753085,1812397056,1812397056,1066191050,1677747484,1066191060,485780268,485780268,1
r02-o17-gcc13_scalar-6291456,2,gcc13_scalar,6291456,214,336592896,2084672996,196891892,196891892,4575688358,1682965834,4575688348,2084704947,2084704947,1
r02-o18-gcc13_scalar-536870912,2,gcc13_scalar,536870912,3,402653184,10534516088,1543198232,1543198232,23122391847,2013266219,23122391842,10534548980,10534548980,1
r02-o19-clang18_scalar-262144,2,clang18_scalar,262144,5120,335544320,471212274,1812397056,1812397056,1034276970,796964996,1034276958,471241198,471241198,1
r02-o20-clang18_auto-536870912,2,clang18_auto,536870912,3,402653184,11053366971,1543198232,1543198232,24261229457,943719623,24261229454,11053403291,11053403291,1
r02-o21-clang18_scalar-6291456,2,clang18_scalar,6291456,214,336592896,2087372632,196891892,196891892,4581616106,799411210,4581616116,2087406457,2087406457,1
r02-o22-gcc13_auto-262144,2,gcc13_auto,262144,5120,335544320,438691932,1812397056,1812397056,962896028,964767024,962896044,438719283,438719283,1
r02-o23-clang18_auto-1048576,2,clang18_auto,1048576,1280,335544320,721925793,2000108288,2000108288,1584572777,786463871,1584572770,721954122,721954122,1
r02-o24-clang18_auto-36864,2,clang18_auto,36864,36409,335545344,277836280,3368420452,3368420452,609833245,787309367,609833224,277864679,277864679,1
r02-o25-clang18_scalar-1048576,2,clang18_scalar,1048576,1280,335544320,730859138,2000108288,2000108288,1604180989,796930436,1604180974,730888669,730888669,1
r02-o26-gcc13_auto-8388608,2,gcc13_auto,8388608,160,335544320,2346612208,2634976128,2634976128,5150623948,964692624,5150623962,2346650142,2346650142,1
r02-o27-clang18_scalar-8388608,2,clang18_scalar,8388608,160,335544320,2378896326,2634976128,2634976128,5221485963,796920356,5221485962,2378929841,2378929841,1
r02-o28-gcc13_auto-6291456,2,gcc13_auto,6291456,214,336592896,1752789890,196891892,196891892,3847233065,967708090,3847233060,1752824904,1752824904,1
r03-o01-clang18_scalar-36864,3,clang18_scalar,36864,36409,335545344,258048688,3368420452,3368420452,566400370,797249029,566400340,258074812,258074812,1
r03-o02-gcc13_auto-536870912,3,gcc13_auto,536870912,3,402653184,10621852570,1543198232,1543198232,23314088406,1157628253,23314088402,10621888321,10621888321,1
r03-o03-gcc13_auto-262144,3,gcc13_auto,262144,5120,335544320,450068930,1812397056,1812397056,987868089,964767024,987868090,450096331,450096331,1
r03-o04-gcc13_auto-6291456,3,gcc13_auto,6291456,214,336592896,1765926559,196891892,196891892,3876067167,967708090,3876067140,1765961834,1765961834,1
r03-o05-clang18_scalar-6291456,3,clang18_scalar,6291456,214,336592896,1928894296,196891892,196891892,4233769319,799411210,4233769320,1928927521,1928927521,1
r03-o06-gcc13_auto-36864,3,gcc13_auto,36864,36409,335545344,263576435,3368420452,3368420452,578532048,965239303,578532064,263603830,263603830,1
r03-o07-clang18_scalar-8388608,3,clang18_scalar,8388608,160,335544320,2386007565,2634976128,2634976128,5237094450,796920356,5237094456,2386040107,2386040107,1
r03-o08-clang18_scalar-536870912,3,clang18_scalar,536870912,3,402653184,10574146209,1543198232,1543198232,23209379276,956302495,23209379270,10574180914,10574180914,1
r03-o09-gcc13_scalar-32768,3,gcc13_scalar,32768,40960,335544320,279570044,3633848320,3633848320,613636424,1677926684,613636408,279596871,279596871,1
r03-o10-gcc13_scalar-536870912,3,gcc13_scalar,536870912,3,402653184,10593087710,1543198232,1543198232,23250951864,2013266219,23250951856,10593120992,10593120992,1
r03-o11-clang18_auto-8388608,3,clang18_auto,8388608,160,335544320,2295875373,2634976128,2634976128,5038949848,786437009,5038949894,2295864947,2295864947,1
r03-o12-gcc13_scalar-36864,3,gcc13_scalar,36864,36409,335545344,287580201,3368420452,3368420452,631218243,1677909049,631218258,287607120,287607120,1
r03-o13-clang18_auto-262144,3,clang18_auto,262144,5120,335544320,441707181,1812397056,1812397056,969516766,786556031,969516768,441735502,441735502,1
r03-o14-clang18_scalar-32768,3,clang18_scalar,32768,40960,335544320,251079493,3633848320,3633848320,551104179,797287562,551104158,251105372,251105372,1
r03-o15-clang18_auto-6291456,3,clang18_auto,6291456,214,336592896,2046123078,196891892,196891892,4491077276,788895887,4491077294,2046159105,2046159105,1
r03-o16-gcc13_scalar-262144,3,gcc13_scalar,262144,5120,335544320,485136638,1812397056,1812397056,1064838559,1677747484,1064838522,485164895,485164895,1
r03-o17-gcc13_auto-1048576,3,gcc13_auto,1048576,1280,335544320,887579939,2000108288,2000108288,1948168646,964709424,1948168640,887609856,887609856,1
r03-o18-clang18_auto-32768,3,clang18_auto,32768,40960,335544320,266750375,3633848320,3633848320,585501400,787416191,585501400,266778667,266778667,1
r03-o19-gcc13_auto-8388608,3,gcc13_auto,8388608,160,335544320,2719791455,2634976128,2634976128,5969721220,964692624,5969721186,2719825520,2719825520,1
r03-o20-gcc13_scalar-6291456,3,gcc13_scalar,6291456,214,336592896,2297718568,196891892,196891892,5043305862,1682965834,5043305872,2297752853,2297752853,1
