round,sample_id,compiler,footprint_bytes,passes,target_operations,shuffle_key
11,r11-o07-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,0507572151
11,r11-o08-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,0525357828
11,r11-o09-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,0588920527
11,r11-o10-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,0683813281
11,r11-o11-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,0737881306
11,r11-o12-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0915797813
11,r11-o13-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,0981689048
11,r11-o14-clang18_auto-6291456,clang18_auto,6291456,102,10000000,1115474747
11,r11-o15-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,1117649642
11,r11-o16-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,1224031206
11,r11-o17-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,1229762351
11,r11-o18-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,1270665802
11,r11-o19-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1345131426
11,r11-o20-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,1492764915
11,r11-o21-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,1527232761
11,r11-o22-clang18_auto-8388608,clang18_auto,8388608,62,8000000,1541723478
11,r11-o23-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1618050093
11,r11-o24-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,1635703400
11,r11-o25-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,1670997401
11,r11-o26-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,1699826518
11,r11-o27-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,2028486375
11,r11-o28-clang18_auto-36864,clang18_auto,36864,173612,100000000,2060811612
12,r12-o01-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,0002881086
12,r12-o02-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,0160072405
12,r12-o03-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,0208899849
12,r12-o04-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,0317243546
12,r12-o05-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,0413855538
12,r12-o06-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,0414373621
12,r12-o07-clang18_auto-262144,clang18_auto,262144,9766,40000000,0566371133
12,r12-o08-clang18_auto-536870912,clang18_auto,536870912,1,4000000,0585388041
12,r12-o09-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,0848444118
12,r12-o10-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,0872152706
12,r12-o11-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0958991418
12,r12-o12-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,1172422474
12,r12-o13-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,1209381774
12,r12-o14-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,1228883640
12,r12-o15-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1327790404
