sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o07-gcc13_auto-32768,2,gcc13_auto,32768,195313,100000256,366644971,223978264113942993,223978264113942993,804758771,900002587,804758768,366672069,366672069,1
r02-o08-gcc13_scalar-36864,2,gcc13_scalar,36864,173612,100000512,1002394298,220423592280896003,220423592280896003,2200175760,900004891,2200175780,1002421428,1002421428,1
r02-o09-clang18_auto-262144,2,clang18_auto,262144,9766,40001536,545262429,85449381942251735,85449381942251735,1196813168,175007808,1196813112,545296760,545296760,1
r02-o10-gcc13_auto-1048576,2,gcc13_auto,1048576,1221,20004864,437266136,43098968983893989,43098968983893989,959766843,180044059,959766830,437294085,437294085,1
r02-o11-gcc13_scalar-8388608,2,gcc13_scalar,8388608,62,8126464,512008499,17444193244271551,17444193244271551,1123820847,73138459,1123820874,512040931,512040931,1
r02-o12-gcc13_scalar-1048576,2,gcc13_scalar,1048576,1221,20004864,438573298,43098968983893989,43098968983893989,962635728,180044059,962635718,438601140,438601140,1
r02-o13-clang18_scalar-32768,2,clang18_scalar,32768,195313,100000256,287427204,223978264113942993,223978264113942993,630884105,437502209,630884100,287456119,287456119,1
r02-o14-clang18_auto-8388608,2,clang18_auto,8388608,62,8126464,626443202,17444193244271551,17444193244271551,1374996703,35554368,1374996678,626474574,626474574,1
r02-o15-gcc13_auto-536870912,2,gcc13_auto,536870912,1,8388608,843902704,18017347997925624,18017347997925624,1852301301,75497755,1852301330,843937183,843937183,1
r02-o16-gcc13_scalar-262144,2,gcc13_scalar,262144,9766,40001536,477214144,85449381942251735,85449381942251735,1047448995,360014107,1047448996,477242199,477242199,1
r02-o17-gcc13_scalar-6291456,2,gcc13_scalar,6291456,102,10027008,475288954,21543721854647272,21543721854647272,1043223488,90243355,1043223478,475318509,475318509,1
r02-o18-gcc13_scalar-536870912,2,gcc13_scalar,536870912,1,8388608,855326510,18017347997925624,18017347997925624,1877375176,75497755,1877375170,855359022,855359022,1
r02-o19-clang18_scalar-262144,2,clang18_scalar,262144,9766,40001536,520345203,85449381942251735,85449381942251735,1142119891,175007809,1142119902,520373940,520373940,1
r02-o20-clang18_auto-536870912,2,clang18_auto,536870912,1,8388608,839941155,18017347997925624,18017347997925624,1843608334,36701248,1843608338,839977427,839977427,1
r02-o21-clang18_scalar-6291456,2,clang18_scalar,6291456,102,10027008,454348749,21543721854647272,21543721854647272,997263593,43869249,997263586,454379017,454379017,1
